target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
1237,1236.2,6904.963035081599,53.78,16301.0,0.72,1245.0,28
1395,1388.5,7927.23250821138,58.07,16301.0,0.72,1327.0,25
1545,1537.0,8863.756457148022,64.48,16301.0,0.72,1447.0,22
1702,1695.0,9925.527012200751,73.84,16301.0,0.755,1620.0,21
1852,1845.0,10907.984028537976,87.83,16301.0,0.795,1792.0,11
2010,2002.0,11919.162350756102,103.46,16301.0,0.84,1942.0,18
2167,2152.0,12637.593198335297,112.53,16301.0,0.845,1946.0,16
2317,2310.0,13916.305323623536,124.92,16301.0,0.885,2085.0,15
2475,2458.6,14516.218504685006,134.48,16301.0,0.89,2107.0,14
2625,2605.8,15398.033058406205,141.89,16301.0,0.895,2122.0,16
2782,2729.9,16161.553676639782,148.46,16301.0,0.895,2122.0,14
2932,2848.6,16632.804337811973,154.24,16301.0,0.895,2122.0,14
3090,2898.5,16817.10967608694,156.5,16301.0,0.895,2122.0,18
